PART NUMBER,NOMENCLATURE,MANUFACTURER,
240,Fire Extinguisher,Amerex,Fire
344,Fire Extinguisher,Amerex,Fire
344T,Fire Extinguisher,Amerex,Fire
345,Fire Extinguisher,Amerex,Fire
352 Series,Fire Extinguisher,Amerex,Fire
352T,Fire Extinguisher,Amerex,Fire
354,Fire Extinguisher,Amerex,Fire
355,Fire Extinguisher,Amerex,Fire
355T,Fire Extinguisher,Amerex,Fire
357,Fire Extinguisher,Amerex,Fire
361,Fire Extinguisher,Amerex,Fire
369,Fire Extinguisher,Amerex,Fire
371,Fire Extinguisher,Amerex,Fire
372,Fire Extinguisher,Amerex,Fire
A352 Series,Fire Extinguisher,Amerex,Fire
A354 Series,Fire Extinguisher,Amerex,Fire
B352,Fire Extinguisher,Amerex,Fire
B355,Fire Extinguisher,Amerex,Fire
B355T,Fire Extinguisher,Amerex,Fire
B371,Fire Extinguisher,Amerex,Fire
C352,Fire Extinguisher,Amerex,Fire
C352TS,Fire Extinguisher,Amerex,Fire
C354,Fire Extinguisher,Amerex,Fire
C354TS,Fire Extinguisher,Amerex,Fire
Model 344,Fire Extinguisher,Amerex,Fire
Model 352,Fire Extinguisher,Amerex,Fire
Model 352T,Fire Extinguisher,Amerex,Fire
Model 354,Fire Extinguisher,Amerex,Fire
Model 355,Fire Extinguisher,Amerex,Fire
Model 357,Fire Extinguisher,Amerex,Fire
Model 358,Fire Extinguisher,Amerex,Fire
Model 361,Fire Extinguisher,Amerex,Fire
Model 369,Fire Extinguisher,Amerex,Fire
Model 371,Fire Extinguisher,Amerex,Fire
Model A352,Fire Extinguisher,Amerex,Fire
28176 (SY-0541),Fire Extinguisher,Ansul,Fire
53100 (SY-0941),Fire Extinguisher,Ansul,Fire
53104 (SY-1441),Fire Extinguisher,Ansul,Fire
55361 (SY-0541),Fire Extinguisher,Ansul,Fire
55362 (SY-0941),Fire Extinguisher,Ansul,Fire
55725 (SY-1441),Fire Extinguisher,Ansul,Fire
57567 (SY-1741),Fire Extinguisher,Ansul,Fire
74443 (SY-1741),Fire Extinguisher,Ansul,Fire
77076 (SY-0243),Fire Extinguisher,Ansul,Fire
643507-1 (see 32700004),Fire Extinguisher,Astrajet,Fire
76306-07901-101 (see 897775),Fire Extinguisher,Astrajet/Sikorsky,Fire
76306-07901-101 (see 472258),Fire Extinguisher,Astrajet/Sikorsky,Fire
205-061-901-003 (see 2241-009),Fire Extinguisher,Bell,Fire
209-062-098-001 (see 30402901),Fire Extinguisher,Bell,Fire
209-062-908-105 (see 30402901-3),Fire Extinguisher,Bell,Fire
209-062-908-019 (see 30900400),Fire Extinguisher,Bell,Fire
209-062-908-107 (see 895187-1),Fire Extinguisher,Bell,Fire
209-062-908-111 (see 895187-2),Fire Extinguisher,Bell,Fire
214-068-980-101 (see 32700011),Fire Extinguisher,Bell,Fire
214-068-980-103 (see 32700011-1),Fire Extinguisher,Bell,Fire
214-068-980-105 (see 32700029-1),Fire Extinguisher,Bell,Fire
222-369-911-001 (see 30100001),Fire Extinguisher,Bell,Fire
10-3275-24 (see 33007507),Fire Extinguisher,Boeing,Fire
10-3275-32 (see 33700002),Fire Extinguisher,Boeing,Fire
10-3275-18 (see A804400-18),Fire Extinguisher,Boeing,Fire
10-3275-33 (see 33700005),Fire Extinguisher,Boeing,Fire
